Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146807,9900112,T,61.22,6.84,-4.42,60.65,8.14,2.71,-0.57,-1,T,52.41,-6.71,4.32,51.92,7.99,2.71,2.57,1,91.21
147043,1011222,G,49.18,5.51,-3.53,48.74,6.55,2.71,-0.57,1,G,42.83,-5.42,3.45,42.42,6.43,2.71,2.57,-1,91.17
147194,2122333,G,46.83,5.24,-3.39,46.41,6.24,2.71,-0.57,-1,G,40.32,-5.13,3.31,39.92,6.10,2.71,2.57,1,91.15
147755,3233444,G,53.41,5.98,-3.85,52.94,7.11,2.71,-0.57,1,G,45.71,-5.85,3.78,45.33,6.96,2.71,2.57,-1,91.21
148031,4344555,G,55.83,6.25,-4.04,55.34,7.44,2.71,-0.57,-1,G,47.92,-6.13,3.95,47.51,7.30,2.71,2.57,1,91.20
148822,5455666,G,59.14,6.62,-4.27,58.61,7.88,2.71,-0.57,1,G,50.33,-6.49,4.18,49.91,7.72,2.71,2.57,-1,91.23
146511,6566777,T,62.41,6.99,-4.51,61.85,8.32,2.71,-0.57,-1,T,53.21,-6.85,4.41,52.78,8.15,2.71,2.57,1,91.22
146807,7677888,G,57.92,6.48,-4.18,57.41,7.71,2.71,-0.57,1,G,49.13,-6.35,4.09,48.71,7.55,2.71,2.57,-1,91.18
147043,8788999,G,15.32,1.45,-2.83,14.91,3.18,2.24,-1.10,1,G,13.62,-1.42,2.78,13.23,3.12,2.21,2.04,-1,28.41
147194,9899111,G,9.45,0.85,-1.71,9.20,1.91,2.27,-1.11,-1,G,8.13,-0.83,1.68,7.91,1.87,2.24,2.03,1,17.83
147755,1010111,G,7.81,0.71,-1.41,7.61,1.58,2.27,-1.11,1,G,6.92,-0.69,1.39,6.74,1.55,2.24,2.03,-1,14.92
148031,2121222,G,12.41,1.13,-2.24,12.10,2.51,2.27,-1.11,-1,G,11.05,-1.10,2.21,10.78,2.46,2.24,2.03,1,23.18
148822,3232333,G,4.92,0.42,-0.95,4.78,1.04,2.24,-1.16,1,G,3.81,-0.41,0.93,3.71,1.02,2.21,1.99,-1,8.71
146511,4343444,G,6.18,0.55,-1.18,6.01,1.30,2.24,-1.13,-1,G,5.32,-0.54,1.16,5.18,1.28,2.21,2.01,1,11.42
146807,5454555,T,3.71,0.32,-0.71,3.61,0.78,2.24,-1.15,1,T,3.12,-0.31,0.69,3.04,0.76,2.21,2.00,-1,6.83
147043,6565666,G,8.92,0.81,-1.62,8.69,1.81,2.27,-1.11,-1,G,7.83,-0.79,1.59,7.62,1.78,2.24,2.03,1,16.41
147194,7676777,G,2.18,0.18,-0.42,2.13,0.46,2.24,-1.16,1,G,1.91,-0.18,0.41,1.86,0.45,2.21,1.99,-1,4.12
147755,8787888,G,11.32,1.04,-2.05,11.04,2.30,2.27,-1.11,-1,G,10.13,-1.02,2.01,9.88,2.25,2.24,2.03,1,21.18
148031,9898999,G,5.41,0.48,-1.04,5.27,1.15,2.24,-1.14,1,G,4.62,-0.47,1.02,4.50,1.12,2.21,2.00,-1,9.92
148822,1019202,G,7.13,0.65,-1.33,6.95,1.48,2.25,-1.12,-1,G,6.21,-0.63,1.31,6.05,1.45,2.22,2.02,1,13.21
146511,2130303,G,4.32,0.38,-0.83,4.21,0.91,2.24,-1.14,1,G,3.71,-0.37,0.81,3.62,0.89,2.21,2.00,-1,7.92
146807,3241404,T,3.18,0.27,-0.61,3.10,0.67,2.23,-1.15,-1,T,2.71,-0.27,0.60,2.64,0.66,2.20,2.00,1,5.81
147043,4352505,G,9.71,0.89,-1.78,9.46,1.99,2.27,-1.11,1,G,8.52,-0.87,1.75,8.30,1.95,2.24,2.03,-1,18.13
147194,5463606,G,21.83,3.41,-2.71,21.30,4.36,2.30,-0.67,-1,G,17.92,-3.31,2.63,17.48,4.23,2.28,2.47,1,40.21
147755,6574707,G,28.41,4.45,-3.53,27.74,5.68,2.30,-0.67,1,G,23.41,-4.32,3.43,22.86,5.51,2.28,2.47,-1,52.34
148031,7685808,G,14.82,2.32,-1.84,14.46,2.96,2.30,-0.67,-1,G,12.18,-2.25,1.78,11.90,2.86,2.28,2.47,1,27.13
148822,8796909,T,18.13,2.84,-2.25,17.69,3.62,2.30,-0.67,1,T,14.92,-2.76,2.18,14.58,3.51,2.28,2.47,-1,33.41
146511,9908010,G,33.41,5.23,-4.15,32.62,6.68,2.30,-0.67,-1,G,27.51,-5.07,4.04,26.86,6.48,2.28,2.47,1,61.42
146807,1109111,G,2.71,0.42,-0.33,2.65,0.53,2.32,-0.66,1,G,2.18,-0.41,0.32,2.13,0.52,2.30,2.48,-1,4.92
147043,2210212,G,1.83,0.28,-0.22,1.79,0.36,2.32,-0.67,-1,G,1.51,-0.28,0.22,1.47,0.35,2.30,2.48,1,3.31
147194,3311313,T,1.21,0.18,-0.14,1.18,0.23,2.34,-0.66,1,T,0.98,-0.18,0.14,0.96,0.23,2.32,2.48,-1,2.18
147755,4412414,G,2.41,0.37,-0.30,2.36,0.48,2.31,-0.68,-1,G,1.95,-0.36,0.29,1.91,0.47,2.29,2.46,1,4.32
148031,5513515,G,16.41,2.55,-2.04,16.05,3.27,2.31,-0.67,1,G,13.41,-2.49,1.99,13.13,3.18,2.29,2.47,-1,30.13
148822,6614616,G,8.92,1.39,-1.10,8.73,1.77,2.32,-0.67,-1,G,7.31,-1.36,1.07,7.16,1.73,2.30,2.47,1,16.41
146511,7715717,G,5.41,0.84,-0.67,5.30,1.07,2.31,-0.67,1,G,4.42,-0.82,0.65,4.34,1.04,2.29,2.47,-1,9.92
146807,8816818,T,3.81,0.59,-0.47,3.73,0.75,2.31,-0.67,-1,T,3.13,-0.58,0.46,3.06,0.74,2.29,2.47,1,7.01
147043,9917919,G,42.13,6.59,-5.23,41.13,8.41,2.30,-0.67,1,G,34.71,-6.41,5.10,33.90,8.21,2.28,2.47,-1,77.42
147194,1019120,G,38.92,6.08,-4.83,38.00,7.77,2.30,-0.67,-1,G,32.05,-5.92,4.71,31.30,7.59,2.28,2.47,1,71.51
147755,2120221,G,45.13,7.05,-5.60,44.05,9.00,2.30,-0.67,1,G,37.18,-6.86,5.45,36.31,8.78,2.28,2.47,-1,82.93
148031,3221322,G,49.42,7.72,-6.13,48.24,9.86,2.30,-0.67,-1,G,40.71,-7.51,5.97,39.76,9.62,2.28,2.47,1,90.81
148822,4322423,G,2.92,0.45,-0.36,2.86,0.58,2.32,-0.67,1,G,2.41,-0.45,0.35,2.36,0.57,2.30,2.48,-1,5.32
146511,5423524,G,1.71,0.26,-0.21,1.68,0.34,2.32,-0.67,-1,G,1.42,-0.26,0.20,1.39,0.33,2.30,2.48,1,3.13
146807,6524625,T,0.92,0.14,-0.11,0.90,0.18,2.32,-0.67,1,T,0.78,-0.14,0.11,0.76,0.18,2.30,2.48,-1,1.71
